no,comment ,Sentiment 
1,"মোমবাতি নিভে যাওয়ার পর আরেকটা ঘটনা ঘটে যাবে,বেপর্দা পাপিষ্ঠ জাতির কাছে এর ছেয়ে ভালো কিছু আসা করা যায়না।",Negative 
2,ধর্ষক প্রমাণিত হওয়ার পর ধর্ষকের বিচার মৃত্যুদণ্ড না হওয়া পর্যন্ত ধর্ষণ কখনো কোনোদিন থামবে না চলবেই...।,Positive
3,সমাজব্যবস্থায় পরিবর্তন দরকার,Positive
4,বেয়াদব গুলোর জন্য ইসলামধর্ম এর ক্ষতি হচ্ছে। হাস্যকর এ পরিনত করে আমাদের কে। এদের জনগণের হাতে তুলে দিন।,Negative 
5,"সবাই আতংকিত হবেন না,ভালোভাবে খবর নিলে বিম্পি-জামাত-হেফাজতের যোগসূত্র পাওয়া যেতে পারে, তাই সবাইকে ধৈর্য্য ধরার অনুরোধ করছি",Positive
6,	সোনার ছেলে বলে কথা!!,Negative 
7,ফিলিস্তিন স্বাধীন না হওয়ার পেছনে আরব দেশগুলো অনেকটা দায়ী,Positive 
8,আল্লাহ তুমি আরব দেশ গুলো হেদায়েত করুণ,Positive
9,এভাবে অপ্রাসঙ্গিকভাবে সাম্প্রদায়িকতা টেনে আনা? চুটিয়া সংবাদ মাধ্যম ৷,Negative 
10,	পাবলিক বিশ্ববিদ্যালয় গুলো একটা মসকারার জায়গা হয়ে উঠতেছে দিনদিন।,Negative 
11,কোন জমিদারের বাচ্চা এরা?,Negative 
12,হেফাজত একটি ধর্ষক দের দল।,Negative 
13,সকল সরকারি কর্মকর্তার সম্পদ তল্লাশি করা হোক আমার মনে হয় বেশিরভাগ সরকারি কর্মকর্তার এ অবস্থা,Positive
14,একাত্তর টেলিভিশন কে দেখলাম এই প্রথম একটি ভালো রিপোর্ট করার জন্য ধন্যবাদ,Positive
15,"হাঃছিনার ইলেকশন কান্ডের পরিনতিতে , হাছিঃনা গং কিভাবে পালাবে, তা দেখার অপেক্ষায় জাতি।",Negative 
16,ওরে চো*খবর,Negative 
17,হিরো আলম তুই দেখ	,Positive 
18,	তামশা চোদাও। মাড়া খাইতে গেছিলো কেন,Negative 
19,নৌকা দেশকে সমৃদ্ধির দিকে নিয়ে যায়,Positive 
20,তরকারি গরম করতিছিলো,Positive 
