 SL NO.,Comment,Emotion
1,আবাল মার্কা সাংঘাতিক,Negative
2,ছাগল কোথাকার।,Negative
3,কোটার মাল,Negative
4,রেজিস্ট্রার একটা বলদের আতুরি।,Negative
5,"প্রতিবন্ধী কোটার রেজিস্ট্রার, মাইন্ড তো করবেই।",Negative
6,উনি কি বুকাসুদা,Negative
7,তুই শুধু ছাগল নাছাগলদের নেতা- ভানু,Negative
8,ছেচরা পোলাপান,Negative
9,তামশা চোদাও। মাড়া খাইতে গেছিলো কেন,Negative
10,হ্যান্ডেল মারা থেকে বিরত থাকুন,Negative
11,জ্বী ভাই।আপনাগো তালতো কি রুমে হিজরা নিয়ে গেসিলো?? সেটা কেনো এতো তড়ি ঘড়ি করে ছাপেন না।হেফাজত কে এতোদিন চাটছেন আপনাদের প্রশাসন। এখন হেফাজত দুর্গন্ধ ময় হয়ে গেলো।মাইয়া বাজ হয়ে গেলো! ফালতু পত্রিকা একটা।,Negative
12,এখন হেফাজতে ইসলামীর পায়ু সৈনিকরা বলবে সীমিত পরিসরে ধর্ষণ করা জায়েজ।,Negative
13,"নতুন টোকেন ""ধর্ষণ ""।",Negative
14,বর্তমানে মুসলিম উম্মাহ একটি কঠিন সময় পার করছে অভিযোগের দীর্ঘ শ্বাস বাড়তেছে,Negative
15,"মানুষ আবাল নয়, সবেই বুজে আলেম সমাজকে হেয় করার জন্য আর কত মিত্যাচার করবে..?",Negative
16,হেফাজত একটি ধর্ষক দের দল।,Negative
17,নিশ্চয় জুলুমকারী কে আল্লাহ পছন্দ করেন না,Negative
18,"আহারে ধর্ষক যদি সেদিন কনডম ব্যবহার করতো, তাহলে এরকম সংবাদ কর্মীর জন্ম হতো না",Negative
19,আললাহর গজব অনিবার্য ভারতের চেয়েও ভয়াবহ হবে।এই হাসিনা মাগির দূঃশাসনে,Negative
20,হলুদ সাংবাদিকদের উপর খোদায়ী গজব অবশ্যম্ভাবী।।,Negative
21,নুনু,Negative
22,ওরে চো*খবর,Negative
23,নাউজুবিল্লাহ মিন জালিক,Negative
24,আল্লাহ তুমি ওদের হেদায়ত করো,Negative
25,তথ্যসন্ত্রাসী এরা এটা সবাই জানে,Negative
26,দাজ্জালী শক্তির একটা,Negative
27,শালারা শুধু আকাম করছে প্রচুর পরিমাণে বিচার করা হোক এবং তাদেরকে ফাঁসিতে ঝুলানো হোক,Negative
28,সাধারন মানুষ তাদের পরিবারের সাথে ঈদ করবে এটা সাভাবিক আর আপনারা সেটা ঠেকাতে পারবেন না এটা তো বুঝতে পারছেন শুধু কেন পরিবহন আটকে রেখে মানুষের ভোগানতি বাড়ানো,Negative
29,এই পবিত্র রমজানে ওলামাদের মিথ্যা অপবাদ দিয়ে হয়েরানি করেচছ তোদের ওপর আল্লাহর গজব পড়বে মনে রাখিস,Negative
30,"হাসরের ময়দানে তোমাদের ও বিচার তাদের ও বিচার হবে সেদিন বুঝবা মিথ্যা বানোয়াট মামলা দেয়ার শাস্তি,",Negative
31,মোমবাতি গুলো ধর্ষণকারীদের হুগায় জ্বালিয়ে দাও। হুগা শান্তি পাবে।এবং শুক্রাণুগুলো মারা যাবে।,Negative
32,এখন যারা প্রতিবাদ করতেছে তারা আজ নয় কাল ধষন করবে,Negative
33,মোমবাতির আগুনে জ্বলে পুড়ে যাক ধর্ষকের সব,Negative
34,মোম্বাতিকেও সেক্স টয় হিসেবে ব্যাবহার করা যেত।,Negative
35,"আর কত মিথ্যাচার করবি রে,,,,,,,,,,,",Negative
36,"তোমাদের এসব নিউজ মানুষ কিভাবে নিচ্ছে,,,,,?? মানুষের কাছে এখন মিডিয়া আর সরকার অনাস্থার প্রতিক।",Negative
37,নোংরা রাজনৈতিক দেশে সব সম্ভব।,Negative
38,আল্লাহ জালেমদের হাত থেকে আলেমদের হেফাজত করুণ,Negative
39,পাবলিক এইসব মিথ্যা সংবাদ খায়না এখন,Negative
40,আনভিরের মোবাইলে কত হাজার মেয়ের নম্বর আছে। পুলিশ চেক করে না কেন,Negative
41,আল্লা ষড়যন্ত্র কারীদের উপর সহসা গজব ডালো।,Negative
42,মামলা দেন ভালো কথা । গ্রহণযোগ্য মামলা দেন!,Negative
43,এভাবেই বিশ্বের দরবারে ইসলামকে ছোট করে তুলে দরার চেয়ে বাংলাদেশে মুসলিম পরিচয় দেওয়া নিষিদ্ধ করলেই হয়।,Negative
44,কিছু কিছু সাংঘাতিক ভাইয়েরা আর কিছু দিন পরে পিতৃহীনের পরিচয় দিবে এটাই মনে হচ্ছে।,Negative
45,মহিলার ডিএনএ টেষ্ট করে প্রমানিত হলে হুজুরকে আইনানুযায়ী কঠিন সাজা দেয়া হোক।না হলে অপবাদ দেয়া বন্ধ হোক।,Negative
46,করোনা আর হেফাজত ছারা মিডিয়া দেহি অচল!আর কোনো নিউজই করতে পারেন না।,Negative
47,"যখন সূর্য ডুবে যায়, তখন বাতি দিয়ে আলোকিত করা যায় না।",Negative
48,গুলশানে মুনিয়া কে মনে হচ্ছে এই হেফাজতের নেতাই ধর্ষণ করে ঝুলিয়ে ছিল!!,Negative
49,তোরাতো এক হেফাজতই পাইছত ফকিন্নির দলহেফাজান খুন করে গুম করে ধর্ষণ করে চুরি করে ডাকাতি করেসবই হেফাজতই করেনতুন কিছু বাহির কর হেফাজত নিয়াদালালের বাচ্ছারা,Negative
50,"হে আল্লাহ এদের উপর তোমার গজব নাজিল করো,,যারা এমন সব মিথ্যা বানোয়াট কথা বলে ,,, কিন্তু জারজ লীগের বুড়া,জোয়ান,,চেংরা পুরুষ অনেক অনেকের নামে প্রকাশ্যে ধর্ষণের অভিযোগে অভিযুক্ত হয়েছে কিন্তু তাদের বিচার করবে কে???",Negative
51,"সব ধর্ষণ এরাই করছে,,,বর্তমানে তো কোন ধর্ষণ এ হচ্ছে না।।। মুসলিমরাই যদি মুসলিমের পিছনে বাঁশ দেয়,,কিছুই করার থাকে না।।। ইনশাআল্লাহ সময় একদিন কথা বলবে",Negative
52,আওয়ামীলীগ একটা জিনিসই ভাইরে,Negative
