No.,sentiment,Comment
1,n,আবাল মার্কা সাংঘাতিক
2,n,ছাগল কোথাকার।
3,n,কোটার মাল
4,n,রেজিস্ট্রার একটা বলদের আতুরি।
5,n,"প্রতিবন্ধী কোটার রেজিস্ট্রার, মাইন্ড তো করবেই।"
6,n,উনি কি বুকাসুদা
7,n,তুই শুধু ছাগল নাছাগলদের নেতা- ভানু
8,n,ছেচরা পোলাপান
9,n,তামশা চোদাও। মাড়া খাইতে গেছিলো কেন
10,n,হ্যান্ডেল মারা থেকে বিরত থাকুন
11,p,সারাদেশের সক্রিয় কমেটি করেন
12,p,"রাজশাহী মহানগর,বোয়ালিয়া থানা পশ্চিম যুবদলের পক্ষ থেকে শুভকামনা রইলো ভাইয়া।"
13,p,ঠিক বলেছেন নেতা
14,p,প্রিয় নেতা আপনি আবার আসবেন এই বাংলাদেশে বীরের বেশে একদিন ইনশাআল্লাহ।
15,p,আসসালামু আলাইকুম
16,p,"শাড়ি,চুরি পরে বসে থাকুন সকল নেতারা।।"
17,p,জনগন বেকেল পাইসচ সালারা তুই একচোর তুর মা একচোর এই দুই চোরে।এদেশটারে বারো বছর লুইটা খাইয়া এখন পালাইছত আমরিকাতে আর এখন দেশের মানুষের গুয়াদা বাশ দেআর আনে।
18,p,"জি লিডার, আপনার সাথে সহমত, ফারুক আহাম্মদ জামালপুরী, প্রতিষ্ঠাতা সভাপতি, কেন্দ্রীয় নির্বাহী কমিটি, বাংলাদেশ জাতীয়তাবাদী পরিবহন হকার্স শ্রমিক দল।"
19,p,"আমার নেতা, আমার অহংকার"
20,p,প্রিয় নেতা ধন্যবাদ
