no,comment ,Sentiment 
1,"মোমবাতি নিভে যাওয়ার পর আরেকটা ঘটনা ঘটে যাবে,বেপর্দা পাপিষ্ঠ জাতির কাছে এর ছেয়ে ভালো কিছু আসা করা যায়না।",n
2,ধর্ষক প্রমাণিত হওয়ার পর ধর্ষকের বিচার মৃত্যুদণ্ড না হওয়া পর্যন্ত ধর্ষণ কখনো কোনোদিন থামবে না চলবেই...।,p
3,সমাজব্যবস্থায় পরিবর্তন দরকার,p
4,বেয়াদব গুলোর জন্য ইসলামধর্ম এর ক্ষতি হচ্ছে। হাস্যকর এ পরিনত করে আমাদের কে। এদের জনগণের হাতে তুলে দিন।,n
5,"সবাই আতংকিত হবেন না,ভালোভাবে খবর নিলে বিম্পি-জামাত-হেফাজতের যোগসূত্র পাওয়া যেতে পারে, তাই সবাইকে ধৈর্য্য ধরার অনুরোধ করছি",p
6,	সোনার ছেলে বলে কথা!!,n
7,ফিলিস্তিন স্বাধীন না হওয়ার পেছনে আরব দেশগুলো অনেকটা দায়ী,p
8,আল্লাহ তুমি আরব দেশ গুলো হেদায়েত করুণ,p
9,এভাবে অপ্রাসঙ্গিকভাবে সাম্প্রদায়িকতা টেনে আনা? চুটিয়া সংবাদ মাধ্যম ৷,n
10,	পাবলিক বিশ্ববিদ্যালয় গুলো একটা মসকারার জায়গা হয়ে উঠতেছে দিনদিন।,n
11,কোন জমিদারের বাচ্চা এরা?,n
12,হেফাজত একটি ধর্ষক দের দল।,n 
13,সকল সরকারি কর্মকর্তার সম্পদ তল্লাশি করা হোক আমার মনে হয় বেশিরভাগ সরকারি কর্মকর্তার এ অবস্থা,p
14,একাত্তর টেলিভিশন কে দেখলাম এই প্রথম একটি ভালো রিপোর্ট করার জন্য ধন্যবাদ,p
15,"হাঃছিনার ইলেকশন কান্ডের পরিনতিতে , হাছিঃনা গং কিভাবে পালাবে, তা দেখার অপেক্ষায় জাতি।",n
16,ওরে চো*খবর,n
17,হিরো আলম তুই দেখ	,p
18,	তামশা চোদাও। মাড়া খাইতে গেছিলো কেন,n
19,নৌকা দেশকে সমৃদ্ধির দিকে নিয়ে যায়,p
20,তরকারি গরম করতিছিলো,p
